"preds","include.prec","fit.type","which.data","radius","weight.style","equal.weights","response.name","weight.col","step.size","tc","cb","la","bag.fraction","mllr","parID","boot.i","test.site","nboots","metaID","ntrees","cv.init","cv","cv.red","cv.sd","cv.max","cv.min","ntest","ntest.pres"
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Badala",10,1,439,0.259681175324581,0.189432959204924,0.270517167953559,0.281957622053171,1.24065549354797,0.00701214086352781,306,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Bafodia",10,2,309,0.20537489124669,0.145811317090514,0.290023643078308,0.193566214962958,0.774446560430207,0.0109403229052249,857,157
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Barlie",10,3,413,0.256054623438725,0.191398636316192,0.252508571234629,0.294706759657472,1.31726376643325,0.00755892415146731,210,2
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Benduma",10,4,311,0.253451324899255,0.182531105327501,0.279817908231274,0.284892601304788,1.2267812810345,0.0114038236105697,324,8
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Gbainkfay",10,5,341,0.257195107823156,0.191914956112705,0.253815682043753,0.277845474639761,1.23082709284973,0.0114459368623757,72,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Gbenikoro",10,6,339,0.256134872226245,0.191284429571884,0.253188650536731,0.28514519754508,1.27768346510605,0.0101444007006748,18,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Guala",10,7,416,0.258888038542953,0.189260216525078,0.268949552129742,0.28554486794774,1.27282230629204,0.0075900545203539,277,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Kapethe",10,8,336,0.257275856585485,0.190059144681005,0.26126319350975,0.280044578649972,1.24798374210608,0.0104021607023158,264,1
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Largo",10,9,335,0.254610841915669,0.185378777587669,0.271913261065804,0.291532037099495,1.2673479872389,0.0103842860767284,483,13
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Makump",10,10,433,0.256142408409053,0.191657798495362,0.251752961620907,0.283180151194057,1.25625489530084,0.00754537180091036,27,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Makuna",10,11,349,0.257634397320702,0.198276925382287,0.230394204173473,0.299204827773923,1.38311043619736,0.00971006830046446,114,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Mokorie",10,12,407,0.256807563169841,0.192214457456964,0.251523377721388,0.283781391025431,1.26171822880277,0.00850726684244059,84,0
